idNovedades,texto,referencia,estado,f_proceso,usuario,tipo
129,test,63748,1,"2018-04-17 10:42:03",1,T
130,"#Relevamiento de partes : <br> Entra [Pantalla Philips DR23 x 10 ]",63748,1,"2018-04-17 10:42:03",1,T
131,test,63748,1,"2018-04-17 10:42:15",1,T
132,"#Relevamiento de partes : <br> Sale [Pantalla Philips DR23 x 5 ]",63748,1,"2018-04-17 10:42:15",1,T
133," Asignado a Rodrigo Fernandez [Sistemas]",5,1,"2018-04-17 10:43:10",1,L
134,test,5,1,"2018-04-17 10:45:34",1,L
135,"Reparacion reabierta",5,1,"2018-04-17 11:02:43",1,L
136,"Se modificó el estado a Reparado",5,1,"2018-04-17 11:02:53",1,L
137,test,63748,1,"2018-04-17 11:05:24",1,T
138,"#Relevamiento de partes : <br> Entra [Pantalla Philips DR23 x 5 ]",63748,1,"2018-04-17 11:05:24",1,T
139,tsseeete,63748,1,"2018-04-17 11:06:20",1,T
140,"#Relevamiento de partes : <br> Sale [Pantalla Philips DR23 x 5 ]",63748,1,"2018-04-17 11:06:21",1,T
141,test,6,1,"2018-04-17 11:07:09",1,L
142,"Se genera un relevamiento de partes
",63747,1,"2018-04-17 11:25:08",1,T
143,"#Relevamiento de partes : <br> Entra [Botonera SJJ33 x 2 ][Pantalla Philips DR23 x 1 ]",63747,1,"2018-04-17 11:25:08",1,T
144," Asignado a Elejandro Romero [caja]",63745,1,"2018-04-17 11:30:09",1,T
145,"#Relevamiento de partes : <br> Entra [PTM x 2 ]",63745,1,"2018-04-17 11:30:10",1,T
146,"Se agregan 2 ptm",63745,1,"2018-04-17 11:33:06",1,T
147,"#Relevamiento de partes : <br> Entra [PTM x 2 ]",63745,1,"2018-04-17 11:33:06",1,T
148,"se envian 2 partes al laboratorio",63745,1,"2018-04-17 11:33:41",1,T
149,"#Relevamiento de partes : <br> Sale [PTM x 2 ]",63745,1,"2018-04-17 11:33:41",1,T
150," Asignado a Elejandro Romero [caja]",7,1,"2018-04-17 12:04:19",1,L
151,"de baja",7,1,"2018-04-17 12:10:43",1,L
152,"dar de baja",7,1,"2018-04-17 12:11:45",1,L
153,"El aceptador no toma tickets pero si billetes.",63749,1,"2018-04-27 16:37:03",1,T
154,"#Relevamiento de partes : <br> Entra [ACEPTADOR MEI SC66 x 1 ]",63749,1,"2018-04-27 16:37:03",1,T
155,"Se vuelve a enviar a reparacion el aceptador",63749,1,"2018-04-27 16:40:44",1,T
156,"#Relevamiento de partes : <br> Entra [ACEPTADOR MEI SC66 x 1 ] Sale [ACEPTADOR MEI SC66 x 1 ]",63749,1,"2018-04-27 16:40:44",1,T
157,"Se modificó el estado a Cerrado",63749,1,"2018-04-27 16:58:00",1,T
158,"#Máquina fuera de servicio.",63753,1,"2018-05-01 14:13:57",1,T
159,"Se modificó el estado a Cancelado",63753,1,"2018-05-01 14:14:20",1,T
160,"Se modificó el estado a Cerrado",63754,1,"2018-05-02 18:46:18",1,T
161,"#Relevamiento de partes : <br> Entra [ACEPTADOR UBA10 x 1 ][MONITOR 22&quot; IGT G23 x 1 ][PTM x 1 ]",63754,1,"2018-05-02 18:46:19",1,T
